job_title,company_name,job_link,experience,salary,date_posted,work_type
Java Spring Boot Developer,SayOne Technologies,https://www.shine.com/jobs/java-spring-boot-developer/sayone-technologies/17897708,3-7,Not Disclosed,3 weeks ago,Remote + Contract
Sr Java Developer,VGreen Technology Solutions (VGreenTEK),https://www.shine.com/jobs/sr-java-developer/vgreen-technology-solutions-vgreentek/17963747,4-8,Not Disclosed,1 week ago,Remote + Contract
Software Test Engineer (QA),TeqDeft Pvt. Ltd.,https://www.shine.com/jobs/software-test-engineer-qa/teqdeft-pvt-ltd/17871222,4-8,Not Disclosed,3 weeks ago,Remote + Contract
Freelance Document Formatting QA Specialist,Avantpage Translations,https://www.shine.com/jobs/freelance-document-formatting-qa-specialist/avantpage-translations/17975364,3-7,Not Disclosed,7 days ago,Remote + Contract
Snowflake And Matillion Data Architect,KHEYDIGIT,https://www.shine.com/jobs/snowflake-and-matillion-data-architect/kheydigit/17890521,5-9,Not Disclosed,3 weeks ago,Remote + Contract
Enterprise Solutions Manager,11:11 Systems,https://www.shine.com/jobs/enterprise-solutions-manager/1111-systems/17980614,3-7,Not Disclosed,5 days ago,Remote + Contract
AWS Solutions Architect and Software Architecture,AECInspire,https://www.shine.com/jobs/aws-solutions-architect-and-software-architecture/aecinspire/17992296,5-9,Not Disclosed,3 days ago,Remote + Contract
SAP Consultant,Codash Solutions,https://www.shine.com/jobs/sap-consultant/codash-solutions/17984787,7-11,Not Disclosed,4 days ago,Remote + Contract
Freelance SAP S/4 HANA Trainer (FICO/MM/SD/PP/HCM),SUAVE OVERSEAS LLP,https://www.shine.com/jobs/freelance-sap-s-4-hana-trainer-fico-mm-sd-pp-hcm/suave-overseas-llp/17935142,5-10,Not Disclosed,2 weeks ago,Remote + Contract
Senior SAP Consultants - SD / LE / PP / PS / ABAP / MM / WM / BASIS,Aray Consulting LLP,https://www.shine.com/jobs/senior-sap-consultants-sd-le-pp-ps-abap-mm-wm-basis/aray-consulting-llp/17848170,8-12,Not Disclosed,1 month ago,Remote + Contract
Freelance Developers,Alphareach Technologies,https://www.shine.com/jobs/freelance-developers/alphareach-technologies/17794004,5-9,Not Disclosed,1 month ago,Remote + Contract
Freelance Front-End Developer,White Globe Group,https://www.shine.com/jobs/freelance-front-end-developer/white-globe-group/17851729,3-7,Not Disclosed,1 month ago,Remote + Contract
Freelance Web Developer,(HumanBridge),https://www.shine.com/jobs/freelance-web-developer/humanbridge/17986683,2-6,Not Disclosed,4 days ago,Remote + Contract
Freelance VR Game Developer,CreativeMUD Business Pvt Ltd,https://www.shine.com/jobs/freelance-vr-game-developer/creativemud-business-pvt-ltd/17834291,5-9,Not Disclosed,1 month ago,Remote + Contract
Mobile App Android and IOS developer  freelance,Ensure Safe Consultancy Pte Ltd,https://www.shine.com/jobs/mobile-app-android-and-ios-developer-freelance/ensure-safe-consultancy-pte-ltd/17812258,2-6,Not Disclosed,1 month ago,Remote + Contract
Freelance Recruiter -Work From Home,Sharda Consultancy Services Hiring For Nandini Parashar 9773634524,https://www.shine.com/jobs/freelance-recruiter-work-from-home/sharda-consultancy-services/17968653,97736345241-5,Not Disclosed,1 week ago,Remote + Contract
Strategic Sourcing Mgr G&A and GCO x-Category,Amgen,https://www.shine.com/jobs/strategic-sourcing-mgr-ga-and-gco-x-category/amgen/17993548,4-12,Not Disclosed,3 days ago,Remote + Contract
SAP Hana Views Developer,IClimb,https://www.shine.com/jobs/sap-hana-views-developer/iclimb/17907580,7-11,Not Disclosed,2 weeks ago,Remote + Contract
